# 384 x 384 x 768 3-d XRB with 48**3 grids
# Intel 15.0.1 compilers
#
#         MPI    threads  advection        MAC      nodal  reactions       misc      total  total +/-  comp
          512          1  8.512752   2.619480   1.288281  18.497248   5.124990  30.331622   0.803857    1
         1024          1  6.389143   1.285164   0.623361   9.588505   6.845795  15.524299   0.362174    1
         1024          6  1.191313   0.452830   0.401125   1.660810   1.258915   3.384112   0.093132    1
         1024         12  0.905460   0.518058   0.468915   0.866940   0.690809   2.637125   0.355591    1


# Cray 8.4.0 compilers
#         MPI    threads  advection        MAC      nodal  reactions       misc      total  total +/-  comp
          512          1  8.736717   2.406778   1.466935  17.523256   5.391637  29.745277   0.578024    2
         1024          1  6.264308   1.279861   0.763723   8.910396   6.481938  15.168448   0.312349    2
         1024          6  1.101427   0.524399   0.606883   1.518982   1.198892   3.601015   0.296018    2
         1024         12  0.595023   0.295390   0.439656   0.744417   0.635613   2.010845   0.032197    2
