# 64^3 grids
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
        432           1   14.031400    3.520500    2.002190   23.230700    8.548250   39.490900
        432           6    2.011130    1.022320    1.180420    3.315770    1.341420    7.558950
        432          12    1.253060    0.756383    1.145770    1.807880    0.862014    5.099680

# 48^3 grids
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
       1024           1    7.353820    1.760450    1.209890   10.139900    6.860430   17.607400
       1024           6    1.211910    0.808226    1.011530    1.640570    1.219000    4.375010
       1024          12    0.717778    0.582928    0.896226    0.844047    0.669709    2.947060


# 32^3 grids
#        MPI     threads   advection         MAC       nodal   reactions        misc       total
       3456           1    1.922680    1.576740    2.900350    2.743110    1.973430    8.489440
       3456           6    0.444619    1.338010    2.907420    0.525098    0.427345    5.148430

