
# 64^3: 432 grids

# 8 cores per node (-j 1):
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
        432           1   16.134500    3.315040    3.343050   30.309000    8.471850   51.470000      1
        432           4    4.250520    2.189030    2.443420    7.792180    2.813210   16.920200      1
        432           8    2.615510    1.034000    1.932080    3.939520    1.509430    9.851150      1

# 16 cores per node (-j 2)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
        432           1   23.548100    6.091490    4.326780   38.740300   11.190400   72.343300      2
        432           4    6.199360    2.319800    2.786510   10.584800    3.675450   22.055100      2
        432           8    3.264250    1.553390    2.379440    5.273780    1.882980   12.821200      2
        432          16    2.367740    1.549710    2.318020    2.711030    1.158170    9.301450      2


# 48^3: 1024 grids

# 8 cores per node (-j 1)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
       1024           1    9.707910    1.877930    2.094230   15.292200   10.916100   25.537400      1
       1024           4    2.624610    0.902288    1.652780    3.759690    2.829270    8.233340      1
       1024           8    1.575620    0.863847    1.580580    1.924850    1.527860    5.671250      1



# 16 cores per node (-j 2)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
       1024           1   15.094300    3.138200    2.737310   19.518800   13.213900   35.224900      2
       1024           4    3.582250    1.320420    1.927190    4.934670    3.670630   10.782400      2
       1024           8    2.078990    1.276700    1.959140    2.575920    1.995530    7.469390      2
       1024          16    1.567850    1.581410    2.022910    1.331920    1.107630    6.357380      2


# 32^3: 3456 grids

# 8 cores per node (-j 1)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
       3456           1    2.999660    2.147760    5.190450    4.343060    3.163900   13.706500      1
       3456           4    0.906299    1.919990    4.992200    1.102830    0.842853    8.733660      1
       3456           8    0.598226    1.853780    4.999030    0.811508    0.699441    8.195520      1


# 16 cores per node (-j 2)
#        MPI     threads   advection         MAC       nodal   reactions        misc       total  -j mode
       3456           1    4.197530    2.907990    5.970160    5.822760    4.287070   17.628000      2
       3456           4    1.320610    2.336150    5.108500    1.490670    1.144500    9.997940      2
       3456           8    1.008580    2.844430    5.221900    0.765035    0.603167    9.724740      2



# I/O times writing 50 G (#s from plt00000):
# 4.264 s
# 4.171 s
# 5.081 s
# 5.260 s



