# these #s are for a 384 x 384 x 768 grid with only 1 level of 48^3
# grids, using all 16 cores per titan node (-j 2)

#        MPI     threads   advection         MAC       nodal   reactions        misc       total   width
       1024           1   17.292100    3.298460    1.828820   25.316000   16.742900   40.012900     384
       1024           4    4.086120    1.535530    1.328920    5.790020    4.130520   11.348500     384
       1024           8    2.283000    1.143640    1.325120    2.935580    2.183380    7.087300     384
       1024          16    1.534190    1.279230    1.457230    1.514530    1.196690    5.561060     384
	      



# these #s are for a 768 x 768 x 768 grid with only 1 level of 48^3
# grids, using all 16 cores per titan node (-j 2)

#        MPI     threads   advection         MAC       nodal   reactions        misc       total   width
       4096           1   19.385600    4.890670    2.739660   27.954000   18.062300   46.032400     768
       4096           4    4.263000    2.537080    1.868980    5.616490    4.009840   12.960800     768
       4096           8    2.633560    2.867420    2.110920    2.997850    2.227410    9.999190     768
       4096          16    2.034100    3.499410    2.529240    1.561730    1.260570    9.384300     768
	      
