time                max{T}              x(max{T})           y(max{T})           z(max{T})           vx(max{T})          vy(max{T})          vz(max{T})          R(max{T})           vr(max{T})          T_center            max{Mach}           
0.0000000000e+00    9.2075912436e+08    2.5585937500e+08    2.5195312500e+08    2.5195312500e+08    -2.8145305056e+04   1.7800363575e+05    3.4098261653e+04    6.4777827937e+06    3.8492741962e+04    7.6048705033e+08    2.6447557799e-04    
2.3883857649e-04    9.2076087662e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0105399701e+05    -1.5951502567e+05   8.2231718274e+04    6.4777827937e+06    2.0516197684e+05    7.6048706593e+08    2.6458934080e-04    
5.0156101062e-04    9.2076267760e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9900899871e+05    -1.6287335027e+05   8.2028868209e+04    6.4777827937e+06    2.0438594084e+05    7.6048706673e+08    2.6443851686e-04    
7.9055568817e-04    9.2076463249e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9783312160e+05    -1.6588756156e+05   8.1671983302e+04    6.4777827937e+06    2.0433874372e+05    7.6048706795e+08    2.6427019996e-04    
1.1084498335e-03    9.2076677871e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9713622299e+05    -1.6846217051e+05   8.1321177677e+04    6.4777827937e+06    2.0459042089e+05    7.6048706881e+08    2.6413226573e-04    
1.4581333933e-03    9.2076914228e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9672143898e+05    -1.7062192406e+05   8.1018473764e+04    6.4777827937e+06    2.0495769350e+05    7.6048707021e+08    2.6402539347e-04    
1.8427853091e-03    9.2077174081e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9648423082e+05    -1.7242206827e+05   8.0768864501e+04    6.4777827937e+06    2.0536115458e+05    7.6048707167e+08    2.6394055057e-04    
2.2659024165e-03    9.2077459729e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9636630498e+05    -1.7391995752e+05   8.0566985440e+04    6.4777827937e+06    2.0576698607e+05    7.6048707303e+08    2.6386887119e-04    
2.7313312347e-03    9.2077774645e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9633357333e+05    -1.7516648227e+05   8.0405734790e+04    6.4777827937e+06    2.0616183943e+05    7.6048707383e+08    2.6380378985e-04    
3.2433029346e-03    9.2078121346e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9636520649e+05    -1.7620427012e+05   8.0278837930e+04    6.4777827937e+06    2.0654161835e+05    7.6048707416e+08    2.6374084863e-04    
3.8064718046e-03    9.2078503364e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9644803362e+05    -1.7706816217e+05   8.0181350995e+04    6.4777827937e+06    2.0690640498e+05    7.6048707423e+08    2.6367683762e-04    
